,Answer.1-Conf,Answer.2-Conf,Answer.3-Conf,Answer.4-Conf,Answer.5-Conf,Answer.6-Conf,Answer.7-Conf,Answer.8-Conf,Answer.9-Conf,Answer.10-Conf,Answer.11-Conf,Answer.12-Conf,Answer.13-Conf,Answer.14-Conf,Answer.15-Conf,Answer.16-Conf
88,10,7,7,10,12,8,6,8,12,7,7,11,12,8,9,11
89,9,5,8,5,11,7,6,7,11,6,11,7,11,6,10,8
90,11,10,2,3,11,11,6,4,11,9,3,4,10,8,10,4
91,4,3,3,3,3,1,1,3,3,3,3,4,5,4,5,6
92,4,8,4,3,5,9,7,3,7,6,3,3,6,8,4,4
93,1,5,1,4,3,4,2,6,3,5,2,10,2,9,3,8
94,6,10,6,7,6,9,6,9,8,9,5,7,8,10,7,7
95,12,9,8,6,9,10,8,6,5,6,8,4,10,10,10,6
96,6,5,10,4,3,8,11,7,5,4,6,6,7,5,9,6
97,6,3,10,6,5,8,6,3,2,7,7,5,4,3,6,8
98,10,8,3,2,7,11,5,2,10,12,2,3,7,11,2,3
99,5,11,5,8,5,11,5,7,6,9,6,10,6,11,5,10
100,9,7,7,6,10,4,8,7,8,7,6,6,9,6,8,6
101,2,4,9,4,6,11,9,6,7,8,12,9,5,6,10,5
102,13,10,8,7,13,11,7,4,11,12,6,7,12,10,7,6
103,5,12,1,3,6,8,4,1,4,9,3,2,4,6,4,1
104,7,7,13,12,7,6,10,10,7,8,12,11,8,6,10,10
105,11,9,11,5,8,5,12,6,7,5,11,9,10,10,11,10
106,5,4,4,8,4,5,4,9,5,4,4,11,4,4,6,7
107,4,7,11,11,5,6,10,9,6,10,10,5,4,7,9,9
108,11,9,9,8,9,7,9,10,11,10,10,11,11,10,11,11
109,11,7,7,11,8,8,5,10,9,7,7,11,11,9,7,10
110,11,3,9,3,10,5,9,3,11,4,10,3,9,4,11,3
111,6,5,6,7,10,8,6,7,9,10,7,8,10,6,10,8
112,10,10,8,11,11,9,6,11,11,9,8,10,13,10,6,11
113,4,7,11,13,10,8,7,13,5,5,6,11,7,7,6,12
114,4,10,7,11,7,7,4,8,7,9,7,10,7,9,6,7
115,7,5,8,5,9,8,7,6,10,7,8,4,11,11,10,8
116,7,10,11,6,3,8,13,6,8,9,8,4,6,6,10,5
117,13,7,3,5,11,8,8,4,12,12,5,7,11,5,8,6
118,6,12,5,12,6,10,6,12,9,12,10,13,7,9,8,10
119,9,3,10,3,11,5,12,3,5,2,11,3,6,4,10,7
120,4,11,6,9,8,11,7,7,9,11,5,9,6,9,8,8
121,11,9,4,5,12,11,4,6,11,11,7,8,11,11,5,5
122,10,13,11,9,8,13,9,10,10,13,11,7,9,12,10,8
123,4,6,12,7,4,6,4,5,6,7,5,5,5,6,8,4
124,10,5,5,7,10,7,4,10,13,5,5,8,10,6,7,9
125,5,7,10,9,7,7,10,8,7,7,12,8,8,7,10,8
126,9,10,6,5,9,11,7,5,10,9,7,5,10,11,7,8
127,3,2,3,10,5,3,3,10,4,4,4,11,4,3,5,12
128,11,13,7,11,12,12,10,12,10,11,8,9,8,12,10,11
129,7,4,9,4,7,5,11,5,7,4,9,5,6,5,10,6
130,11,3,5,7,5,3,8,6,7,4,4,8,8,5,8,10
131,7,6,8,10,11,4,9,9,10,5,10,11,10,6,9,11
132,2,3,1,3,2,2,2,4,3,2,3,4,3,2,3,3
133,9,5,12,10,8,7,9,8,9,7,10,11,9,6,12,10
134,4,11,11,5,4,10,11,5,3,11,9,5,4,10,10,10
135,4,5,12,12,5,6,13,10,4,6,13,12,4,7,13,12
136,4,3,5,6,4,4,6,7,5,5,6,7,4,4,6,7
137,6,5,12,4,4,4,10,8,6,5,10,5,4,9,11,4
138,3,7,5,10,5,6,6,8,5,4,9,9,9,7,9,11
139,9,6,7,11,10,9,7,9,9,9,9,9,10,9,8,12
140,10,8,10,9,10,9,8,8,9,8,9,10,11,8,10,8
141,4,10,4,5,4,11,5,5,8,11,7,7,5,11,10,6
142,8,11,7,6,8,11,10,8,8,11,9,5,9,13,6,6
143,4,5,6,11,6,8,6,8,5,6,6,10,8,8,7,7
144,5,5,9,8,8,8,9,11,8,9,6,11,8,8,9,9
145,5,5,3,9,8,9,5,8,5,4,7,7,5,8,8,9
146,9,11,8,10,9,6,8,7,8,4,7,8,8,8,7,8
147,3,5,3,4,4,6,3,8,4,6,5,5,4,10,4,6
148,12,5,8,8,12,5,7,11,11,4,10,9,11,8,9,10
149,8,11,9,8,4,9,8,8,8,10,10,6,7,8,9,5
150,5,8,12,6,6,7,11,7,8,8,11,6,6,8,11,6
151,4,7,4,12,4,4,5,12,5,4,4,9,6,8,5,11
152,4,5,7,6,8,9,7,8,8,7,9,8,9,8,8,8
153,11,6,7,6,13,4,7,7,11,5,5,5,9,7,4,6
154,9,8,6,7,9,11,7,8,8,9,7,9,11,11,8,11
155,5,5,4,5,5,6,5,5,7,6,5,5,4,6,5,4
156,4,3,5,8,4,4,6,13,3,6,5,11,3,3,7,11
157,5,7,4,5,3,6,3,5,4,9,2,6,5,8,3,6
158,9,8,8,6,10,10,9,6,8,9,8,6,8,9,8,6
159,6,7,7,6,5,5,6,6,4,6,5,6,7,9,7,9
160,2,7,11,9,3,6,10,7,5,11,9,7,5,9,11,8
161,4,8,8,9,5,6,7,9,6,7,6,8,3,6,6,11
162,6,11,7,5,4,8,6,5,4,9,5,4,5,8,8,6
163,11,10,11,7,11,8,9,8,10,9,11,8,11,11,11,10
164,5,9,11,5,5,4,8,8,5,6,7,5,7,6,7,5
165,11,7,8,5,9,6,6,2,6,7,6,2,9,7,8,4
166,11,9,8,9,11,10,8,7,8,6,7,8,12,10,6,7
167,4,6,6,12,5,4,10,10,6,4,6,11,5,8,10,11
168,6,8,13,9,11,10,13,4,9,9,12,5,9,11,13,7
169,12,13,3,4,8,11,3,6,10,12,4,6,11,10,5,5
170,6,5,8,8,5,6,9,9,6,5,11,8,5,5,11,8
171,5,9,9,9,9,10,5,8,6,7,6,7,7,7,5,7
172,5,5,12,13,9,7,11,10,10,4,13,8,9,4,11,11
173,6,13,11,10,8,11,11,8,5,13,12,8,7,12,12,8
174,11,8,4,5,11,5,5,5,12,3,5,5,13,5,5,4
175,13,4,11,6,12,9,12,9,11,7,11,8,11,6,11,8
176,3,6,6,4,6,5,6,4,7,5,6,5,7,5,6,5
177,10,9,6,9,9,7,7,7,13,10,7,8,11,8,8,7
178,10,11,10,9,9,13,10,9,10,13,12,11,8,12,12,10
179,4,4,12,7,6,6,11,7,6,5,13,7,9,6,13,8
180,10,8,3,11,11,8,4,10,11,11,8,9,10,8,8,9
181,8,9,11,7,10,7,10,8,10,10,11,8,9,7,11,9
182,7,9,10,10,8,6,5,10,7,6,7,10,11,9,5,10
183,6,2,12,4,10,3,11,6,9,4,12,7,5,4,11,7
184,13,3,5,9,11,9,7,9,12,6,5,6,12,6,5,8
185,11,8,11,8,12,7,11,5,12,5,10,9,10,7,9,7
186,7,12,5,6,6,9,6,8,5,9,7,9,8,10,6,9
187,7,9,11,6,7,7,12,8,10,11,10,8,11,11,9,7
188,8,13,5,6,8,13,7,7,9,13,6,8,7,10,8,9
189,8,5,8,4,6,9,8,5,9,8,10,4,7,6,11,4
190,7,4,11,9,5,3,11,10,5,4,8,8,8,7,10,10
191,10,11,8,6,11,11,6,7,7,11,8,5,8,10,7,7
192,10,6,8,7,10,9,5,8,9,8,5,10,9,5,4,7
193,4,5,11,10,8,5,6,11,8,6,10,10,7,7,9,9
194,6,12,4,7,9,11,6,10,8,13,5,10,8,11,6,9
195,9,4,6,7,4,4,6,9,10,3,4,5,6,4,6,9
196,12,12,8,9,9,11,10,12,9,12,8,6,9,12,9,10
197,9,7,7,8,7,8,7,8,9,8,8,10,9,8,8,11
198,12,7,7,10,8,5,7,7,10,8,8,6,8,6,8,7
199,3,5,7,9,5,7,8,10,7,9,8,9,6,8,9,10
200,1,2,3,10,2,6,4,5,3,3,3,6,4,8,4,7
201,7,4,6,4,9,5,8,3,9,4,8,3,10,8,7,4
202,3,11,3,8,2,8,4,7,2,6,3,5,5,5,7,2
203,4,10,12,2,3,9,11,3,4,9,12,6,7,11,7,5
